ID,GROUP,POLYP,LOCATION,SAMPLE,WEEK,NOTES,GENERAL_GROUP,TECHNICAL_REP,GENE,WELL,Cq
C319,MG3,P1,9,4,1,,MG,1,VEGFA,A01,26.87945685
C319,MG3,P1,9,4,1,,MG,2,VEGFA,A02,26.04832681
C319,MG3,P1,9,4,1,,MG,3,VEGFA,A03,26.315959
C320,CG2,P4,7,11,1,,CG,1,VEGFA,A04,23.04490051
C320,CG2,P4,7,11,1,,CG,2,VEGFA,A05,23.63893061
C320,CG2,P4,7,11,1,,CG,3,VEGFA,A06,22.89765025
C313,MG6,P1,7,21,1,good size,MG,1,VEGFA,A07,24.70957742
C313,MG6,P1,7,21,1,good size,MG,2,VEGFA,A08,24.87131929
C313,MG6,P1,7,21,1,good size,MG,3,VEGFA,A09,24.56309195
C308,MG1,P2,7,26,4,,MG,1,VEGFA,A10,26.28419339
C308,MG1,P2,7,26,4,,MG,2,VEGFA,A11,27.05370285
C308,MG1,P2,7,26,4,,MG,3,VEGFA,A12,27.00880838
C311,MG2,P1,1,27,4,large biopsy,MG,1,VEGFA,B01,24.71344712
C311,MG2,P1,1,27,4,large biopsy,MG,2,VEGFA,B02,24.39641732
C311,MG2,P1,1,27,4,large biopsy,MG,3,VEGFA,B03,24.40071732
C319,MG3,P1,9,28,4,,MG,1,VEGFA,B04,24.90779202
C319,MG3,P1,9,28,4,,MG,2,VEGFA,B05,24.80719362
C319,MG3,P1,9,28,4,,MG,3,VEGFA,B06,24.92642755
C306,MG4,P1,11,30,4,large biopsy,MG,1,VEGFA,B07,24.39335901
C306,MG4,P1,11,30,4,large biopsy,MG,2,VEGFA,B08,24.25888984
C306,MG4,P1,11,30,4,large biopsy,MG,3,VEGFA,B09,24.07134704
C317,CG2,P1,11,45,4,,CG,1,VEGFA,B10,24.47115529
C317,CG2,P1,11,45,4,,CG,2,VEGFA,B11,24.38656255
C317,CG2,P1,11,45,4,,CG,3,VEGFA,B12,24.26964644
C320,CG2,P4,7,47,4,,CG,1,VEGFA,C01,23.08810739
C320,CG2,P4,7,47,4,,CG,2,VEGFA,C02,22.93983054
C320,CG2,P4,7,47,4,,CG,3,VEGFA,C03,22.82445908
C308,MG1,P2,7,51,6,,MG,1,VEGFA,C04,24.45378999
C308,MG1,P2,7,51,6,,MG,2,VEGFA,C05,25.08330229
C308,MG1,P2,7,51,6,,MG,3,VEGFA,C06,24.36435324
C311,MG2,P1,1,53,6,,MG,1,VEGFA,C07,24.36527282
C311,MG2,P1,1,53,6,,MG,2,VEGFA,C08,23.7892529
C311,MG2,P1,1,53,6,,MG,3,VEGFA,C09,24.23528252
C319,MG3,P1,9,54,6,,MG,1,VEGFA,C10,25.17813019
C319,MG3,P1,9,54,6,,MG,2,VEGFA,C11,25.36559523
C319,MG3,P1,9,54,6,,MG,3,VEGFA,C12,25.22995705
C306,MG4,P1,11,57,6,,MG,1,VEGFA,D01,24.32137711
C306,MG4,P1,11,57,6,,MG,2,VEGFA,D02,24.30298749
C306,MG4,P1,11,57,6,,MG,3,VEGFA,D03,23.9134685
C314,MG6,P1,3,60,4,,MG,1,VEGFA,D04,26.06058418
C314,MG6,P1,3,60,4,,MG,2,VEGFA,D05,25.78634059
C314,MG6,P1,3,60,4,,MG,3,VEGFA,D06,25.92055221
C316,CG1,P1,1,61,1,,CG,1,VEGFA,D07,24.01580802
C316,CG1,P1,1,61,1,,CG,2,VEGFA,D08,24.06175213
C316,CG1,P1,1,61,1,,CG,3,VEGFA,D09,23.9214794
C317,CG2,P1,11,72,6,,CG,1,VEGFA,D10,24.64501917
C317,CG2,P1,11,72,6,,CG,2,VEGFA,D11,24.57069479
C317,CG2,P1,11,72,6,,CG,3,VEGFA,D12,24.60906047
C314,MG6,P1,3,77,6,bigger sample,MG,1,VEGFA,E01,24.60383445
C314,MG6,P1,3,77,6,bigger sample,MG,2,VEGFA,E02,24.26480234
C314,MG6,P1,3,77,6,bigger sample,MG,3,VEGFA,E03,24.50983863
C316,CG1,P1,1,80,4,,CG,1,VEGFA,E04,24.02869321
C316,CG1,P1,1,80,4,,CG,2,VEGFA,E05,23.80046599
C316,CG1,P1,1,80,4,,CG,3,VEGFA,E06,23.5361184
C301,CG4,P2,1,81,4,,CG,1,VEGFA,E07,23.81835874
C301,CG4,P2,1,81,4,,CG,2,VEGFA,E08,23.97079361
C301,CG4,P2,1,81,4,,CG,3,VEGFA,E09,24.07064565
C316,CG1,P1,1,84,6,,CG,1,VEGFA,E10,24.37211728
